kind,n,seed,repeat,algo,ms,batch,compares,moves,buffer_bytes,stable_observed,record_bytes
random,131072,20260923,0,merge,9.767000000,1,2062606,4456448,2097152,1,16
random,131072,20260923,0,heap,8.270000000,1,4051633,6332787,16,0,16
random,131072,20260923,1,heap,7.350000000,1,4051633,6332787,16,0,16
random,131072,20260923,1,merge,9.486000000,1,2062606,4456448,2097152,1,16
random,131072,20260923,2,merge,9.212000000,1,2062606,4456448,2097152,1,16
random,131072,20260923,2,heap,6.963000000,1,4051633,6332787,16,0,16
random,131072,20260924,0,heap,7.047000000,1,4052054,6334785,16,0,16
random,131072,20260924,0,merge,9.133000000,1,2062657,4456448,2097152,1,16
random,131072,20260924,1,merge,9.362000000,1,2062657,4456448,2097152,1,16
random,131072,20260924,1,heap,6.802000000,1,4052054,6334785,16,0,16
random,131072,20260924,2,heap,7.035000000,1,4052054,6334785,16,0,16
random,131072,20260924,2,merge,9.283000000,1,2062657,4456448,2097152,1,16
random,262144,20260922,0,heap,17.355000000,1,8627852,13454478,16,0,16
random,262144,20260922,0,merge,20.360000000,1,4387534,9437184,4194304,1,16
random,262144,20260922,1,merge,20.202000000,1,4387534,9437184,4194304,1,16
random,262144,20260922,1,heap,15.508000000,1,8627852,13454478,16,0,16
random,262144,20260922,2,heap,15.859000000,1,8627852,13454478,16,0,16
random,262144,20260922,2,merge,19.716000000,1,4387534,9437184,4194304,1,16
random,262144,20260923,0,merge,19.706000000,1,4387365,9437184,4194304,1,16
random,262144,20260923,0,heap,15.831000000,1,8628328,13453467,16,0,16
random,262144,20260923,1,heap,15.434000000,1,8628328,13453467,16,0,16
random,262144,20260923,1,merge,19.733000000,1,4387365,9437184,4194304,1,16
random,262144,20260923,2,merge,19.826000000,1,4387365,9437184,4194304,1,16
random,262144,20260923,2,heap,15.410000000,1,8628328,13453467,16,0,16
random,262144,20260924,0,heap,15.903000000,1,8627984,13455174,16,0,16
random,262144,20260924,0,merge,19.564000000,1,4387227,9437184,4194304,1,16
random,262144,20260924,1,merge,19.667000000,1,4387227,9437184,4194304,1,16
random,262144,20260924,1,heap,15.556000000,1,8627984,13455174,16,0,16
random,262144,20260924,2,heap,15.465000000,1,8627984,13455174,16,0,16
random,262144,20260924,2,merge,19.571000000,1,4387227,9437184,4194304,1,16
random,524288,20260922,0,heap,36.941000000,1,18303145,28477704,16,0,16
random,524288,20260922,0,merge,43.480000000,1,9298921,19922944,8388608,1,16
random,524288,20260922,1,merge,41.890000000,1,9298921,19922944,8388608,1,16
random,524288,20260922,1,heap,37.164000000,1,18303145,28477704,16,0,16
random,524288,20260922,2,heap,35.830000000,1,18303145,28477704,16,0,16
random,524288,20260922,2,merge,41.833000000,1,9298921,19922944,8388608,1,16
random,524288,20260923,0,merge,41.690000000,1,9298778,19922944,8388608,1,16
random,524288,20260923,0,heap,35.664000000,1,18305116,28483161,16,0,16
random,524288,20260923,1,heap,35.502000000,1,18305116,28483161,16,0,16
random,524288,20260923,1,merge,41.705000000,1,9298778,19922944,8388608,1,16
random,524288,20260923,2,merge,41.728000000,1,9298778,19922944,8388608,1,16
random,524288,20260923,2,heap,35.788000000,1,18305116,28483161,16,0,16
random,524288,20260924,0,heap,38.213000000,1,18304835,28482969,16,0,16
random,524288,20260924,0,merge,41.763000000,1,9298333,19922944,8388608,1,16
random,524288,20260924,1,merge,42.336000000,1,9298333,19922944,8388608,1,16
random,524288,20260924,1,heap,34.985000000,1,18304835,28482969,16,0,16
random,524288,20260924,2,heap,46.638000000,1,18304835,28482969,16,0,16
random,524288,20260924,2,merge,42.382000000,1,9298333,19922944,8388608,1,16
random,1048576,20260922,0,heap,94.935000000,1,38703779,60101091,16,0,16
random,1048576,20260922,0,merge,92.003000000,1,19646389,41943040,16777216,1,16
random,1048576,20260922,1,merge,91.523000000,1,19646389,41943040,16777216,1,16
random,1048576,20260922,1,heap,91.651000000,1,38703779,60101091,16,0,16
random,1048576,20260922,2,heap,91.280000000,1,38703779,60101091,16,0,16
random,1048576,20260922,2,merge,88.787000000,1,19646389,41943040,16777216,1,16
random,1048576,20260923,0,merge,92.572000000,1,19646022,41943040,16777216,1,16
random,1048576,20260923,0,heap,103.560000000,1,38705836,60105669,16,0,16
