kind,n,seed,repeat,algo,ms,batch,compares,moves,buffer_bytes,stable_observed,record_bytes
few_unique,256,20260924,3,merge,0.004116613,626,1695,4096,4096,1,16
few_unique,256,20260924,3,heap,0.003481000,1000,3013,4731,16,0,16
few_unique,256,20260924,4,merge,0.003821086,626,1695,4096,4096,1,16
few_unique,256,20260924,4,heap,0.003279000,1000,3013,4731,16,0,16
few_unique,256,20260924,4,insertion,0.010760000,500,15519,15496,16,1,16
nearly_sorted,256,20260922,0,merge,0.003024780,1251,1025,4096,4096,1,16
nearly_sorted,256,20260922,0,heap,0.004018000,1000,3453,5916,16,1,16
nearly_sorted,256,20260922,0,insertion,0.000186325,2501,259,6,16,1,16
nearly_sorted,256,20260922,1,heap,0.004498000,1000,3453,5916,16,1,16
nearly_sorted,256,20260922,1,insertion,0.000195522,2501,259,6,16,1,16
nearly_sorted,256,20260922,1,merge,0.003258993,1251,1025,4096,4096,1,16
nearly_sorted,256,20260922,2,insertion,0.000203519,2501,259,6,16,1,16
nearly_sorted,256,20260922,2,merge,0.002988809,1251,1025,4096,4096,1,16
nearly_sorted,256,20260922,2,heap,0.004225000,1000,3453,5916,16,1,16
nearly_sorted,256,20260922,3,merge,0.003149480,1251,1025,4096,4096,1,16
nearly_sorted,256,20260922,3,heap,0.004127000,1000,3453,5916,16,1,16
nearly_sorted,256,20260922,3,insertion,0.000204318,2501,259,6,16,1,16
nearly_sorted,256,20260922,4,heap,0.004577000,1000,3453,5916,16,1,16
nearly_sorted,256,20260922,4,insertion,0.000175930,2501,259,6,16,1,16
nearly_sorted,256,20260922,4,merge,0.002848921,1251,1025,4096,4096,1,16
nearly_sorted,256,20260923,0,heap,0.004076739,1251,3449,5910,16,1,16
nearly_sorted,256,20260923,0,insertion,0.000178955,4096,259,6,16,1,16
nearly_sorted,256,20260923,0,merge,0.002850630,1667,1025,4096,4096,1,16
nearly_sorted,256,20260923,1,insertion,0.000207275,4096,259,6,16,1,16
nearly_sorted,256,20260923,1,merge,0.002849430,1667,1025,4096,4096,1,16
nearly_sorted,256,20260923,1,heap,0.004043165,1251,3449,5910,16,1,16
nearly_sorted,256,20260923,2,merge,0.002911818,1667,1025,4096,4096,1,16
nearly_sorted,256,20260923,2,heap,0.003933653,1251,3449,5910,16,1,16
nearly_sorted,256,20260923,2,insertion,0.000171143,4096,259,6,16,1,16
nearly_sorted,256,20260923,3,heap,0.003991207,1251,3449,5910,16,1,16
nearly_sorted,256,20260923,3,insertion,0.000171143,4096,259,6,16,1,16
nearly_sorted,256,20260923,3,merge,0.002906419,1667,1025,4096,4096,1,16
nearly_sorted,256,20260923,4,insertion,0.000166504,4096,259,6,16,1,16
nearly_sorted,256,20260923,4,merge,0.002919016,1667,1025,4096,4096,1,16
nearly_sorted,256,20260923,4,heap,0.004088729,1251,3449,5910,16,1,16
nearly_sorted,256,20260924,0,insertion,0.000176758,4096,259,6,16,1,16
nearly_sorted,256,20260924,0,merge,0.002966407,1667,1024,4096,4096,1,16
nearly_sorted,256,20260924,0,heap,0.004144684,1251,3448,5898,16,1,16
